year,state,name,value
2015,KUALA LUMPUR,Plastic,66
2015,KUALA LUMPUR,Paper,32
2015,KUALA LUMPUR,Steel,1
2015,KUALA LUMPUR,Aluminium,0
2015,KUALA LUMPUR,Glass,21
2015,KUALA LUMPUR,E-Waste,0
2015,KUALA LUMPUR,Others,20
2015,PUTRAJAYA,Plastic,9
2015,PUTRAJAYA,Paper,3
2015,PUTRAJAYA,Steel,1
2015,PUTRAJAYA,Aluminium,0
2015,PUTRAJAYA,Glass,2
2015,PUTRAJAYA,E-Waste,0
2015,PUTRAJAYA,Others,1
2015,PAHANG,Plastic,62
2015,PAHANG,Paper,43
2015,PAHANG,Steel,4
2015,PAHANG,Aluminium,0
2015,PAHANG,Glass,6
2015,PAHANG,E-Waste,1
2015,PAHANG,Others,18
2015,PERLIS,Plastic,3
2015,PERLIS,Paper,0
2015,PERLIS,Steel,1
2015,PERLIS,Aluminium,0
2015,PERLIS,Glass,0
2015,PERLIS,E-Waste,0
2015,PERLIS,Others,0
2015,KEDAH,Plastic,18
2015,KEDAH,Paper,18
2015,KEDAH,Steel,8
2015,KEDAH,Aluminium,1
2015,KEDAH,Glass,3
2015,KEDAH,E-Waste,0
2015,KEDAH,Others,2
2015,NEGERI SEMBILAN,Plastic,12
2015,NEGERI SEMBILAN,Paper,13
2015,NEGERI SEMBILAN,Steel,8
2015,NEGERI SEMBILAN,Aluminium,0
2015,NEGERI SEMBILAN,Glass,7
2015,NEGERI SEMBILAN,E-Waste,0
2015,NEGERI SEMBILAN,Others,5
2015,MELAKA,Plastic,14
2015,MELAKA,Paper,21
2015,MELAKA,Steel,8
2015,MELAKA,Aluminium,0
2015,MELAKA,Glass,3
2015,MELAKA,E-Waste,0
2015,MELAKA,Others,1
2015,JOHOR,Plastic,13
2015,JOHOR,Paper,25
2015,JOHOR,Steel,10
2015,JOHOR,Aluminium,0
2015,JOHOR,Glass,7
2015,JOHOR,E-Waste,0
2015,JOHOR,Others,5
2016,KUALA LUMPUR,Plastic,134
2016,KUALA LUMPUR,Paper,191
2016,KUALA LUMPUR,Steel,0
2016,KUALA LUMPUR,Aluminium,0
2016,KUALA LUMPUR,Glass,59
2016,KUALA LUMPUR,E-Waste,0
2016,KUALA LUMPUR,Others,45
2016,PUTRAJAYA,Plastic,29
2016,PUTRAJAYA,Paper,45
2016,PUTRAJAYA,Steel,7
2016,PUTRAJAYA,Aluminium,0
2016,PUTRAJAYA,Glass,8
2016,PUTRAJAYA,E-Waste,0
2016,PUTRAJAYA,Others,2
2016,PAHANG,Plastic,150
2016,PAHANG,Paper,161
2016,PAHANG,Steel,26
2016,PAHANG,Aluminium,2
2016,PAHANG,Glass,7
2016,PAHANG,E-Waste,2
2016,PAHANG,Others,38
2016,PERLIS,Plastic,4
2016,PERLIS,Paper,1
2016,PERLIS,Steel,1
2016,PERLIS,Aluminium,0
2016,PERLIS,Glass,0
2016,PERLIS,E-Waste,0
2016,PERLIS,Others,0
2016,KEDAH,Plastic,68
2016,KEDAH,Paper,69
2016,KEDAH,Steel,27
2016,KEDAH,Aluminium,3
2016,KEDAH,Glass,6
2016,KEDAH,E-Waste,3
2016,KEDAH,Others,1
2016,NEGERI SEMBILAN,Plastic,57
2016,NEGERI SEMBILAN,Paper,74
2016,NEGERI SEMBILAN,Steel,35
2016,NEGERI SEMBILAN,Aluminium,0
2016,NEGERI SEMBILAN,Glass,51
2016,NEGERI SEMBILAN,E-Waste,4
2016,NEGERI SEMBILAN,Others,10
2016,MELAKA,Plastic,77
2016,MELAKA,Paper,111
2016,MELAKA,Steel,45
2016,MELAKA,Aluminium,0
2016,MELAKA,Glass,5
2016,MELAKA,E-Waste,0
2016,MELAKA,Others,0
2016,JOHOR,Plastic,88
2016,JOHOR,Paper,160
2016,JOHOR,Steel,86
2016,JOHOR,Aluminium,1
2016,JOHOR,Glass,62
2016,JOHOR,E-Waste,2
2016,JOHOR,Others,28
2017,KUALA LUMPUR,Plastic,89
2017,KUALA LUMPUR,Paper,174
2017,KUALA LUMPUR,Steel,0
2017,KUALA LUMPUR,Aluminium,1
2017,KUALA LUMPUR,Glass,52
2017,KUALA LUMPUR,E-Waste,0
2017,KUALA LUMPUR,Others,27
2017,PUTRAJAYA,Plastic,66
2017,PUTRAJAYA,Paper,75
